Label,HOA,Precinct,Type,Longitude,Latitude,Status
99,Val de Vie 1,VDV I: Phase 1,Single residential,18.96305553,-33.81071236,Transferred
100,Val de Vie 1,VDV I: Phase 1,Single residential,18.96975575,-33.79487253,Transferred
100,Val de Vie 1,VDV I: Phase 1,Single residential,18.96321243,-33.81074606,Transferred
108,Val de Vie 1,VDV I: Phase 1,Single residential,18.968376,-33.79630999,Transferred
101,Val de Vie 1,VDV I: Phase 1,Single residential,18.96882535,-33.79504666,Transferred
170,Val de Vie 1,VDV I: Phase 1,Single residential,18.97106207,-33.79573791,Transferred
170,Val de Vie 1,VDV I: Phase 1,Single residential,18.96519279,-33.81234784,Transferred
102,Val de Vie 1,VDV I: Phase 1,Single residential,18.96879206,-33.7952999,Transferred
103,Val de Vie 1,VDV I: Phase 1,Single residential,18.968396,-33.79531676,Transferred
104,Val de Vie 1,VDV I: Phase 1,Single residential,18.96794931,-33.79531817,Transferred
105,Val de Vie 1,VDV I: Phase 1,Single residential,18.96798618,-33.79558158,Transferred
106,Val de Vie 1,VDV I: Phase 1,Single residential,18.96809219,-33.79583541,Transferred
107,Val de Vie 1,VDV I: Phase 1,Single residential,18.96815973,-33.79610489,Transferred
215,Val de Vie 1,VDV I: Phase 1,Single residential,18.96907875,-33.79713975,Transferred
215,Val de Vie 1,VDV I: Phase 1,Single residential,18.97358678,-33.81929912,Transferred
215,Val de Vie 1,VDV I: Phase 1,Single residential,18.96562607,-33.81094219,Transferred
109,Val de Vie 1,VDV I: Phase 1,Single residential,18.9687164,-33.79625001,Transferred
110,Val de Vie 1,VDV I: Phase 1,Single residential,18.96898879,-33.79621537,Transferred
112,Val de Vie 1,VDV I: Phase 1,Single residential,18.97134156,-33.79391702,Transferred
113,Val de Vie 1,VDV I: Phase 1,Single residential,18.971078,-33.79398637,Transferred
113,Val de Vie 1,VDV I: Phase 1,Single residential,18.96282227,-33.8109264,Transferred
114,Val de Vie 1,VDV I: Phase 1,Single residential,18.97105711,-33.79381143,Transferred
115,Val de Vie 1,VDV I: Phase 1,Single residential,18.97103623,-33.79363649,Transferred
116,Val de Vie 1,VDV I: Phase 1,Single residential,18.97099355,-33.79340694,Transferred
117,Val de Vie 1,VDV I: Phase 1,Single residential,18.98430624,-33.81787407,Transferred
117,Val de Vie 1,VDV I: Phase 1,Single residential,18.97099492,-33.7932361,Transferred
216,Val de Vie 1,VDV I: Phase 1,Single residential,18.96918255,-33.79746715,Transferred
216,Val de Vie 1,VDV I: Phase 1,Single residential,18.96544826,-33.810904,Transferred
216,Val de Vie 1,VDV I: Phase 1,Single residential,18.97384974,-33.81913323,Transferred
118,Val de Vie 1,VDV I: Phase 1,Single residential,18.96280396,-33.81119072,Transferred
